class	port	queue_id	rate_bps	exit_status	verdict	mean_observed_cov	max_observed_cov	stdev_observed_cov	avg_mbps	avg_rate_utilization	avg_cstruct	mean_gap	max_gap	starved_flows	per_run_verdicts
q0-best-effort-100m	5207	0	100000000	0	PASS	0.022610542456775913	0.06782958457129168	0.03916083921928921	82.40153955072464	0.8240153955072465	0.37935706248589945	-0.35674652002912355	-0.2655037487620417	0	PASS,PASS,PASS
q4-iperf-a-1g	5201	4	1000000000	0	PASS	0.0009526430168566715	0.0011426961088334625	0.00024790422494297263	839.6760428937199	0.8396760428937199	0.5302743870446557	-0.5293217440277991	-0.4887552524478021	0	PASS,PASS,PASS
q5-iperf-b-10g	5202	5	10000000000	0	PASS	0.01709715344556572	0.019761707214328753	0.003121899647539161	8405.882620772947	0.8405882620772948	0.47140452079103173	-0.45430736734546606	-0.451642813576703	0	PASS,PASS,PASS
q1-iperf-d-13g	5204	1	13000000000	0	PASS	0.019730254332097595	0.022571435064304875	0.0032441556230252046	10824.654326309179	0.8326657174083985	0.5312526671271145	-0.5115224127950169	-0.45520916870875	0	PASS,PASS,PASS
q2-iperf-e-16g	5205	2	16000000000	0	PASS	0.06146900467875702	0.09210246937157397	0.02875718958831938	12808.413065159419	0.8005258165724636	0.6033357331691589	-0.541866728490402	-0.4363504052292463	0	PASS,PASS,PASS
q3-iperf-f-19g	5206	3	19000000000	0	PASS	0.11326144785650749	0.1965355202083494	0.08375255345462593	14518.60136031884	0.7641369137009916	0.4591307178942503	-0.3458692700377428	-0.30429485672085504	0	PASS,PASS,PASS
q6-iperf-c-25g	5203	6	25000000000	0	PASS	0.1361177698296637	0.20081365898897138	0.05640603931409159	17396.982839289856	0.6958793135715943	0.4685543555672322	-0.3324365857375685	-0.22304639863834907	0	PASS,PASS,PASS
