class	port	queue_id	rate_bps	scrape_count	target_scrape_count	valid_scrape_count	target_per_flow_bps_mean	observed_bps_mean	capped_bps_mean	suppressed_bps_mean	throughput_loss_ratio_mean	unsampled_active_workers_max	worker_count_latest
q0-best-effort-100m	5207	0	100000000	114	114	114	6573241.999829967	80178195.63340086	78878903.9979596	1299291.6354412602	0.01613587577371345	0.0	6
q4-iperf-a-1g	5201	4	1000000000	114	114	114	66694611.41800642	807127190.7678035	801261542.2952869	5865648.472516672	0.007313996254582729	0.0	5
q5-iperf-b-10g	5202	5	10000000000	113	113	113	631967539.7809713	7979070132.49832	7583610477.3716545	395459655.12666535	0.04942726627034475	0.0	6
q1-iperf-d-13g	5204	1	13000000000	114	114	114	824869968.8451356	10152924500.702032	9901952861.069132	250971639.63289985	0.024883461223754472	0.0	5
q2-iperf-e-16g	5205	2	16000000000	113	113	113	927528950.4141065	11918647882.382347	11136608115.913692	782039766.4686539	0.06648842221715305	0.0	5
q3-iperf-f-19g	5206	3	19000000000	113	113	113	978511112.2954252	13806436138.879217	11658375404.037477	2148060734.8417397	0.15717033281349801	0.0	6
q6-iperf-c-25g	5203	6	25000000000	113	113	113	1141023450.6976264	16857160563.24096	13706187173.684443	3150973389.5565157	0.18801697579660992	0.0	6
